colony,head_width,source
17-24,1215,foragers
18-52,1128,colony
18-52,1023,colony
18-52,1023,colony
18-52,1092,colony
18-52,1034,colony
18-52,971,colony
18-52,1264,colony
18-52,1125,colony
18-52,1118,colony
18-52,1071,colony
18-52,1004,colony
18-52,1230,colony
18-52,1288,colony
18-52,1202,colony
18-52,1123,colony
18-52,1031,colony
18-52,991,colony
18-52,1194,colony
18-52,1195,colony
18-19,1145,colony
18-19,1078,colony
18-19,1206,colony
18-19,1220,colony
18-19,1132,colony
18-19,1072,colony
18-19,1119,colony
18-19,1134,colony
18-19,1209,colony
18-19,1266,colony
18-19,1129,colony
18-19,1126,colony
18-19,1041,colony
18-19,1179,colony
18-59,1197,colony
18-59,1132,colony
18-59,982,colony
18-59,1299,colony
18-59,1030,colony
18-59,1176,colony
18-59,1057,colony
18-59,946,colony
18-59,1139,colony
18-59,1169,colony
18-59,1197,colony
18-59,1159,colony
18-59,1185,colony
18-59,1155,colony
18-59,1214,colony
18-59,1089,colony
18-59,1070,colony
18-59,1195,colony
18-59,1144,colony
18-59,1272,colony
18-59,1159,colony
18-59,1090,colony
18-59,1227,colony
18-59,1185,colony
18-59,1229,colony
18-59,1106,colony
18-59,1168,colony
18-59,1008,colony
18-59,1340,colony
18-59,1149,colony
18-59,1073,colony
18-59,1288,colony
18-59,1003,colony
18-59,1055,colony
18-59,959,colony
18-33,1397,colony
18-33,1214,colony
18-33,1061,colony
18-33,1346,colony
18-33,1281,colony
18-33,1339,colony
18-33,1253,colony
18-33,1118,colony
18-33,1191,colony
18-33,1192,colony
18-33,1026,colony
18-33,1267,colony
18-33,1087,colony
18-33,1203,colony
18-33,1285,colony
18-33,1255,colony
18-33,1276,colony
18-33,1156,colony
18-33,1036,colony
18-33,1155,colony
18-33,1201,colony
18-33,1264,colony
18-33,1248,colony
18-33,1304,colony
18-33,1264,colony
18-33,1282,colony
18-33,1229,colony
18-33,1264,colony
18-33,1144,colony
18-33,1235,colony
18-33,1069,colony
18-33,1207,colony
18-33,1356,colony
18-33,1169,colony
18-17,1227,colony
18-17,1339,colony
18-17,1166,colony
18-17,1303,colony
18-17,1169,colony
18-17,1238,colony
18-17,1285,colony
18-17,1116,colony
18-17,1188,colony
18-17,1167,colony
18-17,1038,colony
18-17,1174,colony
18-17,1132,colony
18-17,1193,colony
18-17,1137,colony
18-17,1127,colony
18-17,1345,colony
18-17,1125,colony
18-17,1136,colony
18-17,1105,colony
18-17,1086,colony
18-17,1076,colony
18-17,1118,colony
18-17,1094,colony
18-17,1217,colony
18-17,1385,colony
18-17,1152,colony
18-17,1108,colony
18-17,1266,colony
18-17,1245,colony
18-17,1087,colony
18-17,1095,colony
18-17,1317,colony
18-17,1226,colony
18-17,1183,colony
18-17,1212,colony
18-17,1192,colony
18-17,1139,colony
18-17,1268,colony
18-17,1046,colony
18-14,1384,colony
18-14,1347,colony
18-14,1400,colony
18-14,1406,colony
18-14,1241,colony
18-14,1258,colony
18-14,1310,colony
18-14,1375,colony
18-14,1119,colony
18-14,1186,colony
18-14,1321,colony
18-14,1386,colony
18-14,1262,colony
18-14,1157,colony
18-14,1460,colony
18-14,1505,colony
18-14,1411,colony
18-14,1378,colony
18-14,1239,colony
18-14,1352,colony
18-14,1302,colony
18-14,1143,colony
18-14,1211,colony
18-14,1160,colony
18-14,1338,colony
18-14,1394,colony
18-14,1307,colony
18-14,1232,colony
18-14,1373,colony
18-14,1216,colony
18-14,1406,colony
18-14,1419,colony
18-14,1166,colony
18-14,1233,colony
18-14,1124,colony
18-14,1438,colony
18-14,1286,colony
18-60,1177,colony
18-60,1130,colony
18-60,1065,colony
18-60,1037,colony
18-60,1107,colony
18-60,1011,colony
18-60,1157,colony
18-60,1238,colony
18-60,1085,colony
18-60,1172,colony
18-60,1046,colony
18-60,1045,colony
18-60,1121,colony
18-60,1069,colony
18-60,1044,colony
18-60,1157,colony
18-60,1106,colony
18-60,1150,colony
18-60,982,colony
18-60,1030,colony
18-60,1243,colony
18-60,1136,colony
18-60,1128,colony
18-60,1156,colony
18-60,1120,colony
18-60,1100,colony
18-62 ,1089,colony
18-62 ,1009,colony
18-62 ,1117,colony
18-62 ,921,colony
18-62 ,946,colony
18-62 ,1097,colony
18-62 ,997,colony
18-62 ,1110,colony
18-62 ,971,colony
18-62 ,1109,colony
18-62 ,1068,colony
18-62 ,1003,colony
18-62 ,1076,colony
18-62 ,1223,colony
18-62 ,977,colony
18-62 ,1028,colony
18-62 ,958,colony
18-62 ,990,colony
18-62 ,968,colony
18-62 ,1056,colony
18-62 ,1139,colony
18-62 ,1100,colony
18-61,912,colony
18-61,881,colony
18-19,1061,colony
18-19,1084,colony
18-19,1054,colony
18-19,1097,colony
18-19,1159,colony
18-19,1125,colony
18-19,1277,colony
18-19,1230,colony
18-19,1288,colony
18-19,1219,colony
18-19,1156,colony
18-19,1122,colony
18-19,1100,colony
18-19,1029,colony
18-19,1009,colony
18-19,1025,colony
18-19,1226,colony
18-19,1158,colony
18-19,1061,colony
18-19,1111,colony
18-19,1142,colony
18-19,1187,colony
18-19,1163,colony
18-19,1170,colony
18-19,1188,colony
18-19,1105,colony
18-19,1113,colony
18-19,1154,colony
18-19,1090,colony
18-19,1204,colony
18-19,1147,colony
18-19,1052,colony
18-19,1123,colony
18-19,1006,colony
18-19,1154,colony
18-19,1096,colony
18-19,1249,colony
17-31,1538,wintering colony
17-31,1409,wintering colony
17-31,1537,wintering colony
17-31,1551,wintering colony
17-31,1272,wintering colony
17-31,1194,wintering colony
17-31,1590,wintering colony
17-31,1353,wintering colony
17-31,1439,wintering colony
17-31,1227,wintering colony
17-31,1535,wintering colony
17-31,1413,wintering colony
17-31,1464,wintering colony
17-31,1246,wintering colony
17-31,1216,wintering colony
17-31,1571,wintering colony
17-31,1358,wintering colony
17-31,1186,wintering colony
17-31,1215,wintering colony
17-31,1428,wintering colony
17-31,1239,wintering colony
17-31,1518,wintering colony
17-31,1579,wintering colony
17-31,1502,wintering colony
17-28,1069,dead
17-28,1136,dead
17-28,1082,dead
17-28,1098,dead
17-28,1061,dead
17-28,1130,dead
17-28,1115,dead
17-28,1093,dead
17-28,1074,dead
17-28,1212,dead
17-28,1059,dead
17-28,1005,dead
17-28,1142,dead
17-28,1048,dead
17-28,1138,dead
17-28,1052,dead
17-28,1078,dead
17-28,958,dead
17-28,1245,dead
17-28,1271,dead
17-28,1164,dead
17-28,1109,dead
17-28,1115,dead
17-28,1072,dead
17-28,1106,dead
17-28,1025,dead
17-28,1121,dead
17-28,1106,dead
17-28,1099,dead
17-28,1088,dead
17-28,1282,dead
17-28,1058,dead
17-28,1167,dead
17-28,1149,dead
17-28,1204,dead
17-28,1151,dead
17-28,1027,dead
17-28,1151,dead
17-28,1092,dead
17-28,1065,dead
17-28,1061,dead
17-28,1030,dead
17-28,1039,dead
17-28,1098,dead
17-28,1136,dead
17-28,1105,dead
17-35,1070,dead
17-35,1019,dead
17-35,1139,dead
17-35,1189,dead
17-35,1044,dead
17-35,1095,dead
17-35,1245,dead
17-35,1162,dead
17-35,1128,dead
17-35,1268,dead
17-35,1082,dead
17-35,1012,dead
17-35,1077,dead
17-35,1287,dead
17-35,1053,dead
17-35,1107,dead
17-35,1162,dead
17-35,1207,dead
17-35,1043,dead
17-35,951,dead
17-35,1048,dead
